"","Years","spi_1","spi_3","spi_6","spi_12"
"80",1980,-0.346698257471823,-0.482241037837264,-0.575297063320213,-0.520176903029639
"81",1981,0.322713452864417,0.55281812400206,0.707207813363092,0.613802306516329
"82",1982,-0.331876444022955,-0.281291584519017,-0.436374550692557,-0.544146693800172
"83",1983,0.0193177669641721,-0.292249088633569,-0.720846380528665,-1.43440285686987
"84",1984,-0.212965976374235,-0.149058554922616,-0.199491118117665,-0.199010611888628
"85",1985,-0.0256523443837222,-0.291302762519248,-0.435267299110091,-0.489697433319918
"86",1986,-0.111892718997259,0.0800208776600168,0.0991734186235674,-0.016491200065366
"87",1987,0.0861470860201284,0.162551132548316,0.0799064364716243,-0.427635902841898
"88",1988,0.538197848206362,0.772574555895882,1.15123069870068,1.43118901998828
"89",1989,0.166441855173478,0.360821655227811,0.639547872113498,1.21995771371872
"90",1990,-0.443342242352991,-0.632975787058277,-0.50082840727459,-0.233558939409911
"91",1991,0.0116700154128703,0.158690122096835,-0.0148022271875352,-0.141225228485816
"92",1992,-0.777961769976741,-1.20304105294607,-1.47518009018433,-1.67129238662098
"93",1993,0.025211552032076,-0.172905423356029,-0.48790997163882,-1.22314212816718
"94",1994,-0.480387885021824,-0.650102936123602,-0.422329351698174,0.150968220298396
"95",1995,0.0698293056106883,-0.204478896111016,-0.593873289353044,-1.25586828726996
"96",1996,0.415343770860783,0.698299879439938,0.894049837551954,1.13828688166083
"97",1997,0.207532414273693,0.481480466632217,0.809079652623508,1.07483963653226
"98",1998,-0.0196430785164298,-0.197047475414311,-0.289077352078699,-0.0895255736362278
"99",1999,-0.167548167170699,-0.341652877031452,-0.387610761318185,-0.408265886744386
"100",2000,0.427250393035159,0.803188379075231,1.30336400718707,1.75948086429374
"101",2001,0.461692138105899,0.619855304558606,0.558108640181387,0.339092929809237
"102",2002,0.00816209897725692,0.0799848778579006,0.32955047958783,0.728428656705503
"103",2003,-0.43220525342573,-0.591480421757093,-0.804958225103158,-0.878854223876231
"104",2004,-0.0687512422573206,-0.252531048664193,-0.26759597218559,-0.328276064351177
"105",2005,-0.479390961544196,-0.63057373804347,-0.529902003512062,-0.304207174685269
"106",2006,0.433715347730081,0.649600009339359,0.660380261297212,0.447531800314221
"107",2007,-0.0427821540268833,-0.109632091062661,-0.328090757931539,-0.468577865246173
"108",2008,-0.0237534133461243,-0.12247593156809,-0.0351837724764242,0.14815505134653
"109",2009,0.0345420383948217,0.0106667056227997,-0.114829919797686,-0.194115722461282
"110",2010,-0.0643435876823989,-0.271875685675588,-0.164300279350939,0.111354102806883
"111",2011,0.503892921499625,0.752081005002237,1.02026443482796,0.990936280940505
"112",2012,0.135857652740589,0.129645866713138,-0.14019121396438,-0.184579140473988
"113",2013,-0.268749004069926,-0.527928556143425,-0.572056157051035,-0.416663893972319
"114",2014,-0.0750139525479196,-0.148824129204121,-0.169002418348426,-0.214165473045772
"115",2015,-0.307891729802347,-0.28819882387425,-0.408592621598143,-0.68888297662866
"116",2016,-0.146560526256194,-0.434920077173766,-0.685766282087818,-0.892406738429156
"117",2017,-0.339943573961217,-0.545250442893152,-0.591536650097462,-0.422663941815674
"118",2018,-0.468716161652758,-0.672353851411196,-0.698181302432746,-0.836011322962866
"119",2019,-0.553900923773861,-1.04000479671224,-1.25987222634525,-1.47434467742326
