"","t","Year","spi_1","spi_3","spi_6","spi_12","va","gdp"
"35",35,1995,0.0698293056106883,-0.204478896111016,-0.593873289353044,-1.25586828726996,-19.8999999,3.099995418
"36",36,1996,0.415343770860783,0.698299879439938,0.894049837551954,1.13828688166083,23.99999983,4.299998961
"37",37,1997,0.207532414273693,0.481480466632217,0.809079652623508,1.07483963653226,0.900000183,2.600002116
"38",38,1998,-0.0196430785164298,-0.197047475414311,-0.289077352078699,-0.0895255736362278,-5.30000001,0.500000905
"39",39,1999,-0.167548167170699,-0.341652877031452,-0.387610761318185,-0.408265886744386,6.200000009,2.399996245
"40",40,2000,0.427250393035159,0.803188379075231,1.30336400718707,1.75948086429374,4.699999963,4.200003476
"41",41,2001,0.461692138105899,0.619855304558606,0.558108640181387,0.339092929809237,-3.300000029,2.699994567
"42",42,2002,0.00816209897725692,0.0799848778579006,0.32955047958783,0.728428656705503,6.499999957,3.700382352
"43",43,2003,-0.43220525342573,-0.591480421757093,-0.804958225103158,-0.878854223876231,0.681069552,2.949079137
"44",44,2004,-0.0687512422573206,-0.252531048664193,-0.26759597218559,-0.328276064351177,0.859440044,4.554552745
"45",45,2005,-0.479390961544196,-0.63057373804347,-0.529902003512062,-0.304207174685269,2.809785598,5.277056312
"46",46,2006,0.433715347730081,0.649600009339359,0.660380261297212,0.447531800314221,-5.462780228,5.603797657
"47",47,2007,-0.0427821540268833,-0.109632091062661,-0.328090757931539,-0.468577865246173,2.97916197,5.360475891
"48",48,2008,-0.0237534133461243,-0.12247593156809,-0.0351837724764242,0.14815505134653,19.41150816,3.191046741
"49",49,2009,0.0345420383948217,0.0106667056227997,-0.114829919797686,-0.194115722461282,-1.892281728,-1.538089334
"50",50,2010,-0.0643435876823989,-0.271875685675588,-0.164300279350939,0.111354102806883,-0.300341362,3.039730814
"51",51,2011,0.503892921499625,0.752081005002237,1.02026443482796,0.990936280940505,1.994030064,3.284168142
"52",52,2012,0.135857652740589,0.129645866713138,-0.14019121396438,-0.184579140473988,1.763397374,2.213354808
"53",53,2013,-0.268749004069926,-0.527928556143425,-0.572056157051035,-0.416663893972319,4.479899326,2.4852005
"54",54,2014,-0.0750139525479196,-0.148824129204121,-0.169002418348426,-0.214165473045772,6.80147062,1.846991604
"55",55,2015,-0.307891729802347,-0.28819882387425,-0.408592621598143,-0.68888297662866,-5.87927928,1.193732801
"56",56,2016,-0.146560526256194,-0.434920077173766,-0.685766282087818,-0.892406738429156,-10.08180102,0.39908793
"57",57,2017,-0.339943573961217,-0.545250442893152,-0.591536650097462,-0.422663941815674,21.07456652,1.414512626
